Data;SOLICITAÇÕES
2015-01-01;204919
2015-02-01;261585
2015-03-01;383765
2015-04-01;348216
2015-05-01;367076
2015-06-01;372867
2015-07-01;416742
2015-08-01;382366
2015-09-01;368086
2015-10-01;348571
2015-11-01;339337
2015-12-01;339435
2016-01-01;357659
2016-02-01;350629
2016-03-01;391986
2016-04-01;328630
2016-05-01;320119
2016-06-01;326400
2016-07-01;320599
2016-08-01;349903
2016-09-01;303199
2016-10-01;297465
2016-11-01;313673
2016-12-01;301759
2017-01-01;331809
2017-02-01;272780
2017-03-01;328493
2017-04-01;262514
2017-05-01;316245
2017-06-01;279862
2017-07-01;284665
2017-08-01;315072
2017-09-01;267555
2017-10-01;280876
2017-11-01;266225
2017-12-01;241354
2018-01-01;273908
2018-02-01;233567
2018-03-01;270361
2018-04-01;261206
2018-05-01;249112
2018-06-01;225843
2018-07-01;247886
2018-08-01;255670
2018-09-01;229384
2018-10-01;259879
2018-11-01;240855
2018-12-01;234678
2019-01-01;299635
2019-02-01;262002
2019-03-01;259956
2019-04-01;263001
2019-05-01;267067
2019-06-01;221259
2019-07-01;266866
2019-08-01;250454
2019-09-01;238914
2019-10-01;246590
2019-11-01;215537
2019-12-01;227653
2020-01-01;517256
2020-02-01;445440
2020-03-01;505214
2020-04-01;528238
2020-05-01;540535
2020-06-01;266959
2020-07-01;277437
2020-08-01;249282
2020-09-01;240704
2020-10-01;246404
2020-11-01;232246
2020-12-01;219674
2021-01-01;221045
2021-02-01;207939
2021-03-01;243575
2021-04-01;202185
2021-05-01;197132
2021-06-01;186992
2021-07-01;176820
2021-08-01;185558
2021-09-01;177057
2021-10-01;176671
2021-11-01;166603
2021-12-01;156423
2022-01-01;172114
2022-02-01;152745
2022-03-01;172161
2022-04-01;158508
2022-05-01;166306
2022-06-01;153614
2022-07-01;147450
2022-08-01;153023
2022-09-01;137984
2022-10-01;132548
2022-11-01;118730
2022-12-01;113370
2023-01-01;124280
2023-02-01;112620
2023-03-01;127527
2023-04-01;99288
2023-05-01;118478
2023-06-01;109493
2023-07-01;113307
2023-08-01;118364
2023-09-01;106911
2023-10-01;112366
2023-11-01;109488
2023-12-01;100727
2024-01-01;112656
2024-02-01;103884
2024-03-01;111652
2024-04-01;119369
2024-05-01;111905
2024-06-01;102540
2024-07-01;110642
2024-08-01;105229
2024-09-01;107353
2024-10-01;114407
2024-11-01;100901
2024-12-01;103931
2025-01-01;116470
2025-02-01;116185
2025-03-01;119819
2025-04-01;114214
2025-05-01;121024
2025-06-01;115614
2025-07-01;126244
