Data;SOLICITAÇÕES
2015-01-01;204919.0
2015-02-01;261585.0
2015-03-01;383765.0
2015-04-01;348216.0
2015-05-01;367076.0
2015-06-01;372867.0
2015-07-01;416742.0
2015-08-01;382366.0
2015-09-01;368086.0
2015-10-01;348571.0
2015-11-01;339337.0
2015-12-01;339435.0
2016-01-01;357659.0
2016-02-01;350629.0
2016-03-01;391986.0
2016-04-01;328630.0
2016-05-01;320119.0
2016-06-01;326400.0
2016-07-01;320599.0
2016-08-01;349903.0
2016-09-01;303199.0
2016-10-01;297465.0
2016-11-01;313673.0
2016-12-01;301759.0
2017-01-01;331809.0
2017-02-01;272780.0
2017-03-01;328493.0
2017-04-01;262514.0
2017-05-01;316245.0
2017-06-01;279862.0
2017-07-01;284665.0
2017-08-01;315072.0
2017-09-01;267555.0
2017-10-01;280876.0
2017-11-01;266225.0
2017-12-01;241354.0
2018-01-01;273908.0
2018-02-01;233567.0
2018-03-01;270361.0
2018-04-01;261206.0
2018-05-01;249112.0
2018-06-01;225843.0
2018-07-01;247886.0
2018-08-01;255670.0
2018-09-01;229384.0
2018-10-01;259879.0
2018-11-01;240855.0
2018-12-01;234678.0
2019-01-01;299635.0
2019-02-01;262002.0
2019-03-01;259956.0
2019-04-01;263001.0
2019-05-01;267067.0
2019-06-01;221259.0
2019-07-01;266866.0
2019-08-01;250454.0
2019-09-01;238914.0
2019-10-01;246590.0
2019-11-01;215537.0
2019-12-01;222883.0
2020-01-01;230229.0
2020-02-01;237575.0
2020-03-01;244921.0
2020-04-01;252267.0
2020-05-01;259613.0
2020-06-01;266959.0
2020-07-01;277437.0
2020-08-01;249282.0
2020-09-01;240704.0
2020-10-01;246404.0
2020-11-01;232246.0
2020-12-01;219674.0
2021-01-01;221045.0
2021-02-01;207939.0
2021-03-01;243575.0
2021-04-01;202185.0
2021-05-01;197132.0
2021-06-01;186992.0
2021-07-01;176820.0
2021-08-01;185558.0
2021-09-01;177057.0
2021-10-01;176671.0
2021-11-01;166603.0
2021-12-01;156423.0
2022-01-01;172114.0
2022-02-01;152745.0
2022-03-01;172161.0
2022-04-01;158508.0
2022-05-01;166306.0
2022-06-01;153614.0
2022-07-01;147450.0
2022-08-01;153023.0
2022-09-01;137984.0
2022-10-01;132548.0
2022-11-01;118730.0
2022-12-01;113370.0
2023-01-01;124280.0
2023-02-01;112620.0
2023-03-01;127527.0
2023-04-01;99288.0
2023-05-01;118478.0
2023-06-01;109493.0
2023-07-01;113307.0
2023-08-01;118364.0
2023-09-01;106911.0
2023-10-01;112366.0
2023-11-01;109488.0
2023-12-01;100727.0
2024-01-01;112656.0
2024-02-01;103884.0
2024-03-01;111652.0
2024-04-01;119369.0
2024-05-01;111905.0
2024-06-01;102540.0
2024-07-01;110642.0
2024-08-01;105229.0
2024-09-01;107353.0
2024-10-01;114407.0
2024-11-01;100901.0
2024-12-01;103931.0
2025-01-01;116470.0
2025-02-01;116185.0
2025-03-01;119819.0
2025-04-01;114214.0
2025-05-01;121024.0
2025-06-01;115614.0
2025-07-01;126244.0
